Name,Biography,Time in metropolitan France,Date of departure,Regions,Occupation
Jean Michel de Lépinay,"Jean Michel de Lépinay, born circa 1665, left France for Canada as a military ensign in 1687.  He was promoted to lieutenant in 1687, then to captain in 1691. Lépinay returned to France in 1695, before travelling to Lousianna to be the governor there starting in 1716. He then became governor of Grenada (in the Antilles) in 1717. He died in Martinique in 1721.",,1687,New France;Caribbean,Military
Henri Roulleaux Sieur de la Vente,"Henri Roulleaux Sieur de la Vente was a member of the Séminaire des Missions-Etrangères in Paris. He served on Isle Bourbon from 1698 to 1702 before being sent to Mobile, Louisiana, where he became the presiding cleric and vicar-general of the bishop of Quebec. His stay in Louisiana is best known for the controversy which opposed him to officials like Bienville and Duclos, on the question of intermarriage.",Yes,1698,Bourbon;Louisiana,Missionary
Charanville,"Charanville travelled to the French colonies in America in 1699 as a sub-brigadier for the marine guard, then arrived in Pondicherry in 1704, became major of the place and troops in 1708, then became the governor of Isle Bourbon starting in 1709. He returned to France in 1710, before being designated to serve in Cayenne in 1711. He arrived there in 1713, became captain, hen was promoted to major in 1727, then lieutenant in 1729. He died in 1730.",Yes,1699,Louisiana;India;Bourbon,Military
Sieur L'Huillier,"Sieur L’Huillier left France in 1702 to take his cousin to Bengal, where she was to marry an agent of the Company of the Indies named Dulivier. After the wedding, L’Huillier travelled back to France and his ship called at Isle Bourbon in 1703.",Yes,1702,India;Bourbon,Other
"Pierre Le Moyne, Sieur d’Iberville","Pierre Le Moyne, Sieur d'Iberville was born in New France in 1661. He pursued a career in the military in New France and travelled to France multiple times from the 1680s. There, he was chosen to lead an expedition in the Lower Mississippi Valley with his brother Jean-Baptiste Le Moyne, Sieur de Bienville. He arrived in Saint-Domingue in 1698 and reached the Mississippi valley in 1699. That same year, he established the colony of Louisiana and travelled back to France. He then commanded a naval expedition against the English in the Antilles in 1706, and died in Havana, Cuba in the same year.",Yes,1706,New France;Caribbean,Military
Bertrand-François Mahé de la Bourdonnais,"Bertrand-François Mahé de la Bourdonnais was born in Saint-Malo, France in 1699. When he was 10 years old, he embarked on a first voyage to the South Sea on a merchant ship. He then travelled to the Philippines, the North Sea and the Levant and was initiated into the arts of navigation, engineering and war. In 1718, he entered the service of the Company of the East Indies as a lieutenant. In 1724, he was made a captain and took part in the capture of Mahé, India. From 1735 to 1740, he was the governor-general of Isle of France and Isle Bourbon. La Bourbonnais is considered the “founding father” of Isle of France, because he encouraged the construction of durable physical, social and economic infrastructures on the island. He then returned to India to combat the English. Accused of treason, he was sent to Martinique, taken prisoner by the English, and eventually imprisoned at the Bastille. He died shortly after his liberation in 1753.",Yes,1709,India;Bourbon;Caribbean,Official
Pierre-Benoît Dumas,"Pierre-Benoît Dumas was born in Paris in 1696. In 1712, he left France to work as a secretary to his godfather Pierre Dulivier, the governor of Pondicherry. He arrived in Pondicherry in 1713 and became councillor at the colonial Council of this outpost in 1718. In 1722, he married a high-born woman from Nagapatam on the Coromandel Coast in of India, named Marie Gertrude Wanzyll. He returned to Paris and was granted the office of director-general of the Isle of France and of Bourbon from 1727. He arrived on Isle Bourbon in 1727 and governed the island until 1735. He travelled to Pondicherry to purchase slaves in the 1720s, and eventually became governor-general of the outpost in 1735.",Yes,1712,India;Bourbon,Official
Jean-Baptiste Dubois Duclos,"Jean-Baptiste Duclos was nomiated commissaire-ordonnateur of Louisiana in 1712 and left France to take up his position. He moved to  Saint-Domingue in 1717, where he became councillor at the colonial Council of Le Cap and Leogane, and was the intendant from 1729 to 1735. He died in Leogane in 1737.",Yes,1712,Louisiana;Caribbean,Official
Guy Le Gentil de La Barbinais,"Guy Le Gentil de La Barbinais was born in Saint-Malo, France in 1692. He became one of the first Frenchmen to complete a round-the-world trip. He left France in 1714. After a stopover in the Canary islands, he travelled through Brazil, Chili and Perou before reaching China in 1716. He then travelled to Sumatra and Java before reaching French India and Isle Bourbon in 1717, spending five months on the island. After completing his round-the-world trip, La Barbinais moved to the French Caribbean. In 1726, he became a councillor at the colonial Council in Le Cap, Saint-Domingue and he later became Commissaire-Ordonnateur in the same city. He was also a successful planter. His son, the Marquis of Paroy, married the niece of governor of Louisiana and Canada Pierre de Rigaud, Marquis de Vaudreuil in 1749. Guy Le Gentil de la Barbinais wrote a travel narrative titled Nouveau voyage autour du monde (3 vols., 1729).",Yes,1714,India;Bourbon;Caribbean,Official
Jean-François-Benjamin Dumont de Montigny,"Jean-François-Benjamin Dumont de Montigny was born in Paris in 1696. He obtained a position in the French army in France, and a commission from the Ministry of the Marine. He travelled to Quebec in 1715 and then returned to France. In 1719, he sailed to Louisiana, where he occupied the positions of lieutenant and engineering officer. He spent almost eighteen years in the colony, also working as a planter. After his return to France, Dumont de Montigny travelled to Isle of France, Isle Bourbon and Pondicherry where he died in 1760.",Yes,1715,New France;Louisiana;Bourbon;India,Military
Jousselin de Marigny,"Jousselin de Marigny was a captain of troops in Canada, then in Saint Domingue in 1716.",Yes,1716,New France;Caribbean,Military
Bernard Diron Dartaguiette,"Bernard Diron Dartaguiette was born in Mendionde, France in 1696. He travelled to Louisiana in 1717 and became  infantry captain in 1719. He was then named inspector general of the troops of Louisiana in 1720. He was made commandant of Mobile in 1724, second-lieutenant in 1726, and major in Illinois in 1734. In 1739, he was sent to Saint Domingue.",Yes,1717,Louisiana;Caribbean,Military
d'Escairac,"d'Escairac joined the army in 1718, became captain of the troops in Canada, then major in Port-de-Paix in Saint-Domingue in 1725/1748.",Yes,1718,New France;Caribbean,Military
L'Isle,"L'Isle was a sub-lieutenant of Lousianna troops, and travelled to Saint-Domingue around 1718/1726.",Yes,1718,Louisiana;Caribbean,Military
Régis,"Régis served in the colonies starting in 1719, was lieutenant of dragoons in Louisiana starting 1724, where he led negotiations with the Choctaws in 1729. He then became full captain in Cayenne. He requested permission to retire in 1747.",Yes,1719,Louisiana;Guyana,Military
Sébastien François Ange Le Normant de Mezy,"Sébastien François Ange Le Normant de Mezy was born in 1702 in Dunkerque, France. In 1719, he travelled to Louisbourg with his father, a commissaire-ordonnateur. Le Normant spent time in Saint Domingue were he owned a large plantation and became the commissaire ordonnateur of Louisiana. Vidal, Caribbean New Orleans, 84–5",,1719,Caribbean;Louisiana,Official
La Longueville,"La Longueville was a knight and lieutenant of the Canada troops, then captain of the Louisiana troops in 1720. He requested the position of lieutenant at the Îles du Vent in the Antilles, a position that was available to him in Martinique.",Yes,1720,New France;Louisiana,Military
Pierre Antoine de Parat,"Pierre Antoine de Parat was a lieutenant in Pondicherry. On its way back to France in 1709, his ship called at Isle Bourbon. Parat was nominated governor of the island and he occupied this position until 1715. He then left the island and subsequently returned to Pondicherry, where he became Major.",,1721,India;Bourbon,Military
Beauvoillier de Courchant,"Beauvoillier de Courchant was the governor of Isle Bourbon starting in 1718, then of Pondicherry starting in 1723.",Yes,1723,Bourbon;India,Official
Thomas Sanguin de Gassonville,"Thomas Sanguin de Gassonville , born in 1697, began working for the French East India Company in 1723, then worked as aide-major in Isle Bourbon until 1725. He travelled to Pondicherry and worked there as aide-major until 1726, was promoted to captain in 1726 and stayed captain until at least 1740, then became captain in Chandannagar in 1740. Hochereau de Gassonville was aide-major in Isle Bourbon and in Pondicherry in 1724.",Yes,1723,Bourbon;India,Military
Pierre de Forcade,"Pierre de Forcade was the commisioner for the Marines, worked at the registry and the notary of the Saint-Domingue jurisdiction starting in 1713, with his interests being in Saint-Domingue and in Cayenne in 1719/1742.",Yes,1724,,
Hochereau de Gassonville,Hochereau de Gassonville was an aide-major in Isle Bourbon and in Pondicherry in 1724.,Yes,1724,Bourbon;India,Military
Antoine Desforges-Boucher,"Antoine Desforges-Boucher was born in Brest, France around 1680. He worked as a cabin boy on a ship that sailed for the East Indies. Taken prisoner by Moorish pirates, he was liberared in 1695 and managed to reach Pondicherry. On its way to France, his ship called at Isle Bourbon in 1702. Boucher became the shopkeeper of the island and occupied this position until 1709. He eventually became the governor of IIsle Bourbon in 1723. He spent over eight years on the island.",Yes,1725,India;Bourbon,Official
Durand,"Durand was a store-keeper for the French East India Company in Louisiana, and a prevaricator who travelled to Saint-Domingue after 1725.",Yes,1725,Louisiana;Caribbean,Other
Pitre Paul,"Pitre Paul was born in Flanders, Belgium. He was brought before the colonial Council of Isle Bourbon in 1725 for polygamy. His career in ship construction took him to various part of France’s empire: he had three wives in France, Martinique and Isle Bourbon. He also travelled to Mocha, the Cape of Good Hope, China, Norway, and Guinia. He was eventually acquitted of all charges Wood, Archipelago of Justice, pp. 20–1",Yes,1725,Caribbean;Bourbon,Other
Dolnet de Palmaroux,"Dolnet de Palmaroux was a lieutenant in Isle Bourbon in 1726, travelled back to France in 1743, returned to Isle Bourbon in 1744, then set off for India in 1757.",Yes,1726,Bourbon;India,Military
,"Guillouet d'Orvilliers de La Troncais, Claude, was named infantry ensign in Cayenne in 1728, then became captain in Saint-Domingue starting in 1744.",,,Guyana;Caribbean,Military
Louis César Bertrand Moreau,"Louis César Bertrand Moreau was a white creole born in Guadeloupe in 1709. He arrived on Isle Bourbon in 1726,  worked as a surgeon in Sainte-Suzanne and became a succesful coffee planter. In 1728, he married a woman of Asian descent named Marie Droman.",,1726,Caribbean;Bourbon,Other
Claude Guilouet d'Orvilliers de La Troncais,"Claude Guillouet d'Orvilliers de La Troncais was assigned infantry ensign in Cayenne in 1728, then was captain in Saint-Domingue starting in 1744.",,1728,Guyana;Caribbean,Military
Baron de Cresnay,"Baron de Cresnay was a troop commander in Louisiana in 1730, then was lieutenant in Mobile in 1731, then in Cayenne in 1734. He died in Cayenne in 1736.",,1730,Louisiana;Guyana,Military
Jean Richard Pelevilain de la Houssaye,"Jean Richard Pelevilain de la Houssaye was a cadet, then ensign, then lieutenant in Louisiana. He left France in 1730, then was captain in Louisbourg starting in 1750.",Yes,1730,Louisiana;New France,Military
Pierre Félix Barthélemy David,"Pierre Félix Barthélemy David began working for the French East India Company in 1729. He was sent as sub-inspector to Senegal in 1732. He became the second inspector of the general director in 1733, travelled back to France in 1737, then was named general director of Senegal starting in 1742. In 1746, he was elected to the government of Isle Bourbon and France, and he travelled back to France in 1753.",Yes,1732,Senegal;Bourbon,Official
Destanchau,"Destanchau was captain of troops in Saint-Domingue starting in 1732, and captain of the reformed troops in Canada.",Yes,1732,Caribbean;New France,Military
De Membrède,"De Membrède was a lieutenant in Louisiana in 1732, then captain in 1733, then a major in New Orleans. He was also a major in Louisiana from 1746-1747, then a king's lieutenant in Saint-Domingue in 1770. He died in Saint-Domingue in 1770.",Yes,1732,Louisiana;Caribbean,Military
Paradis,"Paradis began working for the French East India Company in 1732, first as an engineer in Isle of France and Isle Bourbon, then as the chief engineer in Mahé, Karaikal, and Pondicherry. He then worked as a commander in Karaikal starting in 1744.",,1732,Bourbon;India,Official
Joseph de Ponssy,"Joseph de Ponssy started working for the French East India Company with a certificate from the infantry in the Isle Bourbon in 1732, then with a captain's commission in 1740. He spent some time at Isle of France then in Pondicherry in 1741 and 1742, and was major general in Pondicherry and in Isle of France in 1743.",Yes,1732,Bourbon;India,Military
Pierre Villotte,"Pierre Villotte was a navigator from Louisbourg, and arrived at Cap-Français in Saint-Domingue in 1732, where he lived habitually.",Yes,1732,New France;Caribbean,Other
Joseph Aima d'Eyma,"Joseph Aima d'Eyma was in the service starting in 1734. He was a captain of the Canada troops, then was in the legion of Saint-Domingue.",Yes,1734,New France;Caribbean,Military
Joseph Gamon de La Rochette,"Joseph Gamon de La Rochette was in the service starting in 1734. He was a major at Port-de-Paix in Saint-Domingue, then captain of troops in Louisiana starting in 1753.",Yes,1734,Caribbean;Louisiana,Military
Pierre Boullot,"Pierre Boullot was a captain of merchant ships travelling between Martinique, Louisbourg, Quebec, and France from 1737 to 1753.  He lived in Louisbourg from 1753 to 1758, and then in France until 1763, when he left to live in Saint Pierre and Miquelon.",Yes,1737,Caribbean;New France,Other
Henry Decous,"Henry Decous was a navigator.  He fought in campaigns in Martinique in 1738 and 1740 as a volunteer on a ship.  In 1742, he fought in another campaign in Martinique as a second lieutenant on a ship.  He fought as a second-in-command on a ship in 1747 in a campaign in Canada and then in 1749 in Saint-Domingue.  In 1750, he travelled to Louisiana, where he was major of militias for 8 years.  He then became lieutenant at the port of Saint-Pierre in Martinique.",Yes,1738,Caribbean;New France,Military
Armand François de Maizière de Maisoncelle,"Armand François de Maizière de Maisoncelle was born in France’s Champagne region in 1724. He was a cadet in New France in 1738 and by 1750, he had become a lieutenant in Île Royale. In 1765, he was a captain in the Volontaires d’Afrique. In 1772, he was promoted to the position of lieutenant colonel in the Isle Bourbon regiment. By 1775 he had become the commander of a battalion on Isle of France. He died on that island in 1777. Wood, Archipelago of Justice, pp. 152–4",Yes,1738,New France;Bourbon,Military
Count Charles Joseph de Noyelles,"Count Charles Joseph de Noyelles joined the army as a cadet in 1734.  He fought in a campaign against the Chitimachas in Louisiana in 1739, was a second ensign in Canada in 1744, then a commander at the fort in Michilimackinac.  He became the governor of Montreal in 1748, became a full ensign in 1749, then a lieutenant in 1756.  He fought in multiple campaigns in Canada, then in Cayenne in 1765.  He was a captain of voluntary conscripts in Africa, and died in 1768 in Gorée.",Yes,1739,Louisiana;New France;Guyana;Senegal,Military
Louis de Nanteuil de Pré,"Louis de Nanteuil de Pré was a knight and engineer in Saint-Domingue starting in 1739.  He became boy major of the artillary in that colony, then an ensign, then canoneer lieutenant, and then artillary captain and commander-in-chief of a company in Cayenne in 1764.",Yes,1739,Caribbean;Guyana,Military
Pierre Poivre,"Pierre Poivre was born in Lyon in 1719. He studied theology, botany and engineering in Paris and became a botanist. In 1741, he left France to work as a religious missionary in China and Cochinchina. While on its way back to France, in 1745, his vessel was attacked by the British who took him to Dutch Batavia. He eventually reached Pondicherry in 1746, Isle of France and France in 1758. He became a member of the Academy of Sciences in Lyon. In 1766, he was named Intendant of Isle of France and Isle Bourbon. He left Isle of France in 1772 and died in France in 1786. He wrote a travel narrative, titled Voyages d’un philosophe (1768).",Yes,1741,India;Bourbon,Missionary
Alexandre Du Breuil-Villars,"Alexandre Du Breuil-Villars was born in New Orleans in 1742.  He was an ensign of the Louisiana troops, and a captain of the Guadeloupe regiment.",Yes,1742,Louisiana;Caribbean,Military
René Gédéon Potier de Pommeroy,"René Gédéon Potier de Pommeroy was born at Fort Fontenac in Canda on September 7th 1730.  He was a cadet in the Fort Royal troop starting in 1742, then was promoted to officer in 1749, then sub-aide-major in 1750, then captain in 1754, then lieutenant in 1755, before becoming captain of the national troops in Cayenne, and he withdrew in 1768.",Yes,1742,New France;Guyana,Military
Antoine Philippe Le Moyne,"Antoine Philippe Le Moyne was a controller in Martinique starting in 1742, an authorizing officer in Cayenne, and a general commissioner of the Marine in Rochefort.",Yes,1742,Caribbean;Guyana,Official
Pierre Claude Du Roullin,"Pierre Claude Du Roullin was in the service starting in 1742.  He was a lieutenant of the Louisiana troops, a captain of the Guadeloupe regiment, then a major in 1779.",Yes,1742,Louisiana;Caribbean,Military
Denis Foucault,"Denis Foucault was the chief writer of the Marine starting in 1742, then was an authorizing officer in Louisiana and Pondicherry, and then was commissioner general in charge of the function of intendant in Isle of France",,1742,Louisiana;India;Bourbon,Official
Honoré Michel Legros de La Grancours,"Honoré Michel Legros de La Grancours started his service in the police corps in 1742.  He travelled to Canada in 1750 to serve in the war, and was an ensign in Louisiana starting in 1758.  He travelled back to France in 1769, and was then captain of the Isle of France regiment.  He also travelled to Pondicherry.",Yes,1742,Louisiana;India,Military
Charles François d'Espinette,"Charles François d'Espinette began his  service in 1743.  He was a major of the Isle of France legion, then of the Pondicherry regiment, with a certificate of lieutenant-colonel in 1770/1776.",Yes,1743,Bourbon;India,Military
Mathias Claude Gosse,"Mathias Claude Gosse was a former consul in Basrah, then counselor in Pondicherry in 1743, then in Isle of France in 1750.",Yes,1743,India;Bourbon,Official
De Charly,"De Charly, was a cadet in Quebec starting in 1744, then was an ensign in Louisbourg starting in 1749, then a major of the troops in 1750.  He had a certificate of aide-major in 1759, and continued his service until the capture of Canada, then was a major in Gorée.",,1744,New France;Guyana,Military
Charles François Ferdinant Dupont Du Chambon,"Charles François Ferdinant Dupont Du Chambon joined the army in 1744.  He was a lieutenant of the Marine troops in Canada and in Île Royale, and a captain of the regiment of Foix in Saint-Domingue in 1777.",Yes,1744,New France;Caribbean,Military
Jean Baptiste Fontain,"Jean Baptiste Fontain was an artillery captain in Isle of France, and joined the army in 1744.  He was also a commander of artillery in Pondicherry, and a major of the colony troops in 1727/1791.",Yes,1744,Bourbon;India,Military
Jean René La Glaine d'Auzon,"Jean René La Glaine d'Auzon was a soldier in the troops in India starting in 1745, became a lieutenant in Pondicherry starting in 1761, and was then a major commander of artillery in Senegal in 1783.",,1745,India;Senegal,Military
Yves Lecodé,"Yves Lecodé, born in Louisbourg, became a ship's boy in 1745, travelled to France, then to Port-Louis in Isle of France in 1746 and to L'Orient in 1747.  He became boatswain in 1749, commander in 1750, and coast pilot in 1757.  In 1758 he was sent to Tolagnaro in 1758 to pilot the king's ships, then in the same year to Quebec.  He arrived in Cayenne in 7164 with his family and became portmaster in 1767.",Yes,1745,Bourbon;New France;Guyana,Other
Pierre Basile de Sornay,"Pierre Basile de Sornay, born in 1727, served in the Marine starting in 1746, then travelled to Pondicherry in 1750, then served in the French East India Company troops as an engineer and an infantry officer.  He became captain starting in 1759, then commander of the Isle of France militias starting in 1769, then major in Isle of France starting in 1772.",Yes,1746,India;Bourbon,Military
Jean Baptiste d'Aillebouste de Saint-Vilmé,"Jean Baptiste d'Aillebouste de Saint-Vilmé was a cadet and ensign in the Marine company at Île Royale in 1747 and 1749.  He was then a lieutenant in 1757, then was employed during the Louisboug siege in 1758.  He was assigned to a company of national troops in Cayenne in 1764, was authorized a passage to Gorée in 1768, and was lieutenant of the king in Saint-Louis.",Yes,1747,New France;Guyana;Senegal,Military
Antoine Hertel de Saint-Francois,"Antoine Hertel de Saint-Francois, born in Canada, joined the army as a cadet in 1747, and was promoted to officer in Louisbourg in 1751.  He was assigned to a lieutenancy in the Isle of France legion in 1767 and became captain in 1770.",Yes,1747,New France;Bourbon,Military
Georges Treyvoux,"Georges Treyvoux was a gunsmith in Canada in 1747, then in Martinique.",,1747,New France;Caribbean,Other
Honoré Michel de La Rouvillière de Villebois,"Honoré Michel de La Rouvillière de Villebois was the ordinal commissioner of the Marines in Canada from 1730 to 1747, then in Louisiana from 1748 to 1752.",,1748,New France;Louisiana,Official
Romain,"Romain, a creole from Guadeloupe, joined the Maritime commerce, having lived in Cayenne for 12 years starting in the 1750s.",Yes,1748,Caribbean;Guyana,Other
Pierre Louis Rastel de Rocheblave,"Pierre Louis Rastel de Rocheblave travelled to Canada in 1749 where he worked as a cadet, and was then sent to Illinois in 1759.  He was nominated as governor of Gorée in 1769, and was lieutenant of the king in Saint-Domingue starting in 1775.  He died in 1780.",Yes,1749,New France;Senegal;Caribbean,Military
Jacques-Henri Bernardin de Saint-Pierre,"Bernardin de Saint-Pierre was born in 1737 in Le Havre, France.  In 1749, his uncle, a ship captain, took him to Martinique. Later, Bernarding de Saint-Pierre became a prolific writer and an engineer enrolled in the French army. He travelled to Holland, Russia, Poland, Berlin and Isle of France. There, he occupied the position of chief-engineer from 1768 to 1770. A friend of Rousseau, he published various literary works including Paul et Virginie (1788) and a travel narrative based on his journey to  Isle of France (1773). He is well-known for his condamnation of black slavery.",Yes,1749,Caribbean;Bourbon,Military
Charles de Sabrevois de Bleury,"Charles de Sabrevois de Bleury was born in 1734 in Canada.  He was a cadet in the Canada troops, then a second ensign at Île Royale in 1750, then a lieutenant in 1759, and a captain in 1766.  He became a reformed captain of the Isle Bourbon regiment starting in 1775.",Yes,1750,New France;Bourbon,Military
Pierre Joseph Neyon de Villiers,"Pierre Joseph Neyon de Villiers arrived in Louisiana in 1750, was major commander of Illinois starting in 1755, returned to France in 1764, became colonel of the Guadeloupe regiment in 1772, governor of Marie-Galante starting in 1775, and died on board ship on his return to France in 1780.",Yes,1750,Louisiana;Caribbean,Military
Alexandre Claude Duparquier,"Alexandre Claude Duparquier arrived in Louisiana in 1751.  He became the general store-keeper of the king in Louisiana, then was charged with the class bureau in Saint-Domingue in 1754/1775.",Yes,1751,Louisiana;Caribbean,Official
Joseph Olivier,"Joseph Olivier was a writing clerk in Quebec starting in 1751, then was charged with the artillery detail of the same colony starting in 1752.  He returned to France in 1760, and was nominated as principal store-keeper of Port-au-Prince in Saint-Domingue starting in 1786.",Yes,1751,New France;Caribbean,Official
Jacques de Maissin,"Jacques de Maissin, was a captain at the service of the French East India Company starting in 1751, travelled to India in 1752 and stayed there until 1755, and then travelled back to France.  He became major of Isle of France in 1760.",Yes,1751,India;Bourbon,Military
Jean-Bernard Bossu,"Jean-Bernard Bossu was born in Côte-d'Or, France in 1720. A soldier and captain in the French army, he travelled to Louisiana on several occasions from 1751 and explored the Mississippi valley region. On its way to Louisiana, his ship called at Le Cap, Saint-Domingue. Bossu published an account of his travels titled Nouveau voyage aux Indes occidentales (1768).",Yes,1751,Louisiana;Caribbean,Military
Marquis François Marie Albergati-Vezza,"Marquis François Marie Albergati-Vezza was a cadet in Canada starting in 1752, an ensign in 1756, a lieutenant in 1767, then captain of the Isle of France legion in 1760/1773.",Yes,1752,New France;Bourbon,Military
René Antoine Agath Billouard Dessalles de Kervaségan,"René Antoine Agath Billouard Dessalles de Kervaségan, born in 1736, fought in a voluntary campaign and was an ensign in the French East India Company service from 1752 to 1755, then was an ensign of the Louisiana troops in 1760.  He passed to Saint-Domingue in 1766, then was an officer and captain in the Guadeloupe regiment starting in 1775.",Yes,1752,Louisiana;Caribbean,Military
Jean Baptiste de Guyon,"Jean Baptiste de Guyon, born in 1739, was an aide-major in Canada in 1752, then an artillery cadet in 1757, then a sub-major in artillery still in Canada in 1758, and was sent back to France in 1760.  He was then sub-aide-major of the artillery company in Saint-Domingue in 1762, travelled back to France in 1764, then was second lieutenant of artillery in Isle of France in 1771, then was sub-lieutenant on the same island in 1777.",Yes,1752,New France;Caribbean;Bourbon,Military
Jean François Denis d'Orte,"Jean François Denis d'Orte was captain of a workers' company and an engineer-in-chief in Isle Bourbon from 1752 to 1767.  He invented the coton-mill, and requested employment in Saint-Domingue in 1786.",Yes,1752,Bourbon;Caribbean,Other
Pascal Fabre Rustan,"Pascal Fabre Rustan was a lieutenant and captain in Canada from 1752 to 1760.  He travelled to France, and was then store-keeper in Pointe-à-Pitre in Guadeloupe starting in 1781.",Yes,1752,New France;Caribbean,Military
